Source,Target,Distance
64,1367,fashion
100,2092,computers
100,2092,hardware
27,382,fashion
74,1270,movies
94,239,movies
94,239,sports
90,1639,sports
27,1065,clothing
63,212,clothing
22,208,computers
54,1436,clothing
27,2384,computers
95,436,automotive
78,1769,sports
85,309,games
51,2030,movies
9,1652,sports
100,1793,computers
9,21,automotive
20,1145,sports
94,1535,electronics
53,769,hardware
35,2127,electronics
51,1393,clothing
13,1362,movies
27,471,clothing
39,210,computers
27,1065,fashion
57,2221,electronics
84,1404,movies
94,352,games
64,1544,hardware
54,243,movies
72,1307,sports
2,624,hardware
64,1544,movies
74,2132,movies
54,1042,games
53,1687,sports
74,62,games
61,1471,games
20,355,fashion
53,2139,games
59,2133,computers
27,221,hardware
57,2221,movies
84,244,computers
13,1362,computers
71,1093,games
53,881,computers
78,1769,fashion
53,1687,fashion
35,400,automotive
54,178,fashion
27,856,fashion
13,1555,clothing
27,1065,automotive
77,751,hardware
54,1234,computers
13,1555,games
13,1362,electronics
32,2336,automotive
66,12,sports
104,1615,clothing
8,2383,fashion
94,1535,sports
51,2030,fashion
27,471,computers
85,2359,hardware
35,807,games
36,127,games
9,1277,clothing
35,2146,sports
64,1367,sports
9,1652,computers
53,1059,clothing
64,1588,games
93,2177,hardware
51,1485,automotive
75,1525,games
99,1804,computers
59,801,electronics
85,2359,fashion
59,2029,movies
11,1260,computers
35,2146,games
44,935,automotive
27,471,movies
94,1966,fashion
77,1457,clothing
22,76,computers
78,1769,games
35,279,computers
22,1022,games
61,1471,fashion
84,1404,movies
22,1782,fashion
95,436,clothing
57,2285,clothing
27,2384,fashion
11,1155,clothing
99,2032,sports
44,2283,computers
53,881,electronics
35,2199,automotive
51,2030,games
66,12,games
44,827,hardware
13,2208,movies
11,2222,hardware
25,643,hardware
85,2359,clothing
13,1362,sports
99,2032,movies
64,1544,fashion
35,2127,fashion
44,935,fashion
71,1093,games
74,2132,clothing
53,1538,games
53,1740,fashion
93,417,games
44,515,movies
64,1157,electronics
71,1093,computers
27,2384,automotive
36,445,games
53,1863,games
57,2285,computers
104,1615,clothing
64,1157,games
85,864,computers
94,239,clothing
36,2161,clothing
94,1206,fashion
57,2221,hardware
90,1972,games
22,90,hardware
18,970,electronics
8,2383,clothing
94,1535,fashion
18,1205,computers
94,352,computers
74,1270,computers
85,1387,hardware
35,2146,clothing
69,1162,hardware
85,84,computers
59,2029,electronics
57,2285,hardware
61,511,computers
75,65,games
70,1516,games
77,1304,hardware
18,934,sports
2,624,fashion
59,2133,games
74,1270,movies
9,1027,electronics
9,1143,clothing
99,2212,automotive
27,856,games
39,210,movies
63,585,hardware
18,1874,movies
97,1640,clothing
95,436,games
57,1320,automotive
64,1567,games
2,624,games
18,1658,sports
74,2132,hardware
18,128,fashion
77,1304,computers
2,518,games
64,708,sports
13,1072,games
64,708,games
18,374,movies
9,1652,games
18,1064,electronics
27,382,movies
78,1821,computers
18,934,fashion
77,343,games
11,390,hardware
27,856,fashion
64,2009,games
35,2243,computers
27,471,games
99,2368,games
44,935,computers
36,2161,movies
99,1,games
72,1307,sports
11,222,sports
35,279,computers
25,1807,games
63,83,electronics
22,90,automotive
44,935,movies
100,1793,computers
77,595,computers
36,2161,sports
36,445,computers
85,84,sports
78,1769,games
18,374,clothing
75,253,computers
36,2161,games
72,1264,electronics
94,1966,fashion
93,417,clothing
72,1307,sports
57,306,computers
99,2032,games
84,1404,games
99,97,fashion
69,1162,sports
22,208,hardware
54,1026,hardware
54,165,games
11,937,automotive
27,2384,games
22,1782,automotive
9,1300,sports
27,611,hardware
54,1026,movies
27,1935,clothing
95,436,automotive
64,846,computers
35,400,games
72,1264,games
104,1615,movies
63,212,games
66,736,hardware
27,1065,sports
66,12,computers
57,1320,movies
18,1205,clothing
11,1155,computers
90,1972,computers
57,2221,computers
25,643,movies
64,564,electronics
18,374,computers
9,1300,fashion
54,1436,hardware
72,1264,clothing
94,239,hardware
35,868,computers
51,1318,computers
85,864,computers
72,1856,movies
61,1085,electronics
82,365,sports
64,1567,clothing
66,473,electronics
53,881,computers
27,1329,clothing
61,1085,sports
77,1457,movies
35,2127,movies
53,1863,sports
9,1652,games
18,374,electronics
97,1756,computers
27,2384,electronics
100,2306,clothing
84,1404,computers
13,1623,movies
11,222,computers
85,84,clothing
53,769,sports
66,736,computers
51,448,movies
57,306,sports
11,222,hardware
9,21,computers
9,1277,sports
53,1740,sports
109,1019,movies
59,2029,electronics
39,210,fashion
109,1019,fashion
64,1367,computers
22,233,movies
22,1022,games
13,1623,games
22,1717,clothing
59,931,games
35,400,sports
9,1091,electronics
94,352,fashion
82,1214,clothing
75,65,sports
74,62,games
59,801,electronics
66,12,sports
18,934,computers
13,1362,automotive
57,2221,computers
53,670,computers
63,83,fashion
99,1,clothing
13,1362,clothing
97,1609,games
85,864,movies
59,867,clothing
18,970,fashion
64,1567,sports
97,649,games
77,1457,games
9,1300,games
8,2383,games
99,2212,sports
99,2368,computers
13,1072,sports
53,881,games
94,352,movies
54,2379,computers
66,12,hardware
61,1645,computers
77,751,sports
64,1157,fashion
57,2285,fashion
27,1329,fashion
51,2030,clothing
27,382,computers
54,1163,automotive
22,844,sports
72,1856,electronics
57,2285,games
20,355,computers
54,165,electronics
53,881,movies
44,515,electronics
8,2383,sports
11,222,automotive
11,937,games
94,896,hardware
53,670,electronics
13,1072,sports
64,1567,sports
97,1640,games
77,595,computers
54,1026,computers
22,1717,clothing
32,2336,fashion
75,253,sports
99,1,games
35,400,fashion
61,1471,clothing
22,90,sports
2,624,computers
93,417,hardware
25,1807,clothing
54,770,fashion
54,1436,automotive
27,1892,computers
22,1022,sports
27,221,electronics
61,1471,computers
63,462,electronics
94,239,automotive
85,2359,automotive
25,1807,computers
54,2379,movies
64,68,hardware
44,515,fashion
54,1436,electronics
75,65,clothing
18,374,movies
97,1756,electronics
74,62,games
28,1465,electronics
75,253,sports
44,515,movies
95,436,computers
27,2384,hardware
75,1525,movies
71,1093,sports
44,2283,games
64,68,games
74,2132,computers
54,243,movies
99,2032,clothing
54,1026,fashion
22,76,fashion
59,931,computers
64,2084,sports
64,2009,sports
13,1623,computers
61,1645,automotive
18,1874,sports
18,1658,clothing
82,365,electronics
82,1214,games
53,2139,computers
54,1234,games
54,1042,electronics
97,9,clothing
95,436,computers
11,2222,hardware
84,2218,clothing
99,1,movies
77,2248,games
63,212,games
77,595,clothing
53,2139,computers
94,239,movies
54,243,movies
27,1065,fashion
18,970,hardware
64,68,electronics
59,801,games
9,371,sports
63,585,movies
77,2248,fashion
27,221,fashion
74,62,fashion
61,511,computers
27,471,sports
74,2132,electronics
36,445,sports
53,1863,movies
66,473,electronics
9,371,electronics
69,1162,clothing
27,221,sports
64,1544,hardware
54,178,games
104,754,electronics
44,1926,sports
93,417,fashion
57,306,automotive
35,2229,clothing
20,1801,computers
53,2139,computers
22,1022,sports
99,2032,sports
54,165,games
71,1697,fashion
90,1639,movies
111,1016,games
44,515,games
22,415,electronics
59,2355,movies
18,1064,sports
64,708,fashion
36,445,movies
75,253,computers
97,1756,computers
104,754,computers
18,1658,clothing
11,222,movies
61,1471,clothing
59,2355,computers
11,1155,hardware
64,1544,hardware
36,445,sports
54,770,hardware
22,90,computers
11,1155,sports
64,2009,clothing
54,770,computers
57,2221,movies
18,970,movies
54,1436,fashion
9,1143,sports
64,2009,sports
64,1367,computers
51,1393,fashion
20,355,sports
61,1471,computers
27,1892,computers
35,2127,hardware
9,21,computers
72,1264,sports
51,1318,clothing
9,1652,sports
85,864,computers
90,1972,fashion
44,1926,computers
59,867,games
77,751,hardware
22,157,computers
25,1807,games
11,937,movies
63,212,movies
54,2379,games
11,937,movies
18,1064,computers
103,1759,clothing
72,1856,games
100,1793,computers
22,844,games
94,1966,computers
35,740,sports
100,2306,fashion
53,1687,fashion
109,2293,games
44,515,hardware
44,935,fashion
85,309,computers
82,1214,clothing
69,1162,hardware
59,2029,games
22,90,sports
75,1525,clothing
59,931,automotive
78,1769,sports
71,1093,sports
63,585,movies
111,1016,clothing
22,208,sports
11,222,computers
13,1072,computers
105,1442,games
84,244,games
35,2146,computers
32,2336,games
36,2161,sports
111,1016,clothing
18,374,fashion
63,585,games
9,371,computers
27,2384,hardware
70,1516,computers
51,2030,computers
72,1307,computers
8,2383,sports
27,611,clothing
11,2222,clothing
53,670,movies
35,2127,clothing
71,1697,hardware
18,970,computers
109,1019,electronics
25,1807,automotive
64,2084,computers
53,670,hardware
75,253,movies
66,1360,electronics
13,2208,hardware
59,931,computers
77,595,electronics
84,2218,sports
22,844,electronics
85,309,fashion
35,279,movies
117,1249,clothing
54,1163,games
54,1436,games
64,504,hardware
53,670,computers
18,1205,games
44,935,clothing
13,1623,games
59,2133,electronics
9,1652,computers
35,2199,hardware
54,243,sports
77,751,games
99,1804,sports
64,1544,computers
13,1555,games
64,1544,fashion
97,649,games
59,867,games
13,1072,hardware
59,2133,computers
90,1639,electronics
35,868,hardware
94,741,sports
27,611,clothing
27,1329,electronics
57,306,clothing
57,306,sports
2,624,computers
32,2336,fashion
54,1026,movies
59,2133,computers
97,1609,games
51,810,electronics
77,2248,movies
61,1085,clothing
35,2199,clothing
25,1807,computers
36,2161,computers
13,2208,games
94,1966,movies
32,2336,movies
75,253,electronics
63,83,hardware
9,1091,games
64,564,computers
97,819,movies
27,1329,computers
64,1588,clothing
22,1717,computers
74,62,clothing
20,1801,hardware
54,770,games
20,355,hardware
74,2132,hardware
97,1609,hardware
27,1065,clothing
75,65,sports
9,1300,hardware
13,2208,movies
99,97,sports
99,2032,fashion
11,937,electronics
66,473,games
78,1821,automotive
44,2283,movies
35,2127,computers
64,708,games
97,9,computers
99,97,computers
57,1320,movies
63,585,games
36,445,computers
51,1485,games
77,343,clothing
36,127,automotive
64,846,sports
22,415,games
53,881,computers
27,1935,clothing
35,400,sports
9,1027,games
63,585,games
18,121,clothing
9,21,games
35,868,clothing
36,445,clothing
77,1457,sports
63,462,games
84,244,hardware
32,2336,electronics
63,585,games
54,178,movies
85,2359,fashion
27,382,clothing
94,1535,sports
18,1205,hardware
109,2293,clothing
27,221,computers
63,212,games
13,271,movies
77,1304,sports
90,1639,computers
100,2306,fashion
27,2384,sports
70,1516,clothing
103,1759,sports
75,1525,games
117,1249,computers
71,1697,movies
66,1315,computers
9,1091,clothing
44,515,movies
64,564,sports
53,670,sports
94,896,clothing
93,2177,clothing
59,801,hardware
84,2218,clothing
57,2221,clothing
20,355,games
64,708,sports
22,1717,clothing
54,1026,games
97,9,games
75,253,hardware
97,412,movies
54,1234,clothing
57,306,hardware
61,1471,hardware
11,390,computers
53,2139,computers
27,1892,electronics
97,1640,computers
54,1026,fashion
22,76,hardware
44,827,games
44,515,hardware
51,1485,games
59,2355,movies
59,2355,automotive
54,1234,hardware
22,1782,automotive
53,2139,fashion
57,2221,games
84,2218,clothing
51,2030,games
97,9,automotive
82,365,clothing
94,1206,clothing
100,2306,sports
64,708,fashion
77,595,clothing
77,595,games
53,1740,clothing
51,448,automotive
11,222,hardware
22,1717,games
22,1782,clothing
2,518,clothing
57,2221,sports
11,1260,computers
109,2293,clothing
2,624,movies
13,271,games
97,412,movies
53,769,fashion
97,9,sports
35,2146,games
27,856,computers
94,1535,computers
51,1485,computers
20,1801,hardware
53,769,movies
64,708,clothing
75,253,clothing
11,222,hardware
64,564,clothing
59,801,clothing
27,1935,computers
18,970,hardware
54,243,computers
66,736,computers
11,222,sports
94,239,fashion
53,2139,fashion
59,931,games
72,1370,games
35,740,clothing
61,1471,computers
84,1404,movies
63,83,sports
35,2127,clothing
22,415,clothing
18,374,clothing
32,2336,games
51,2030,hardware
97,9,sports
51,810,games
75,1525,games
53,881,sports
27,856,electronics
59,867,games
93,417,computers
27,221,hardware
84,244,sports
22,208,electronics
66,1315,hardware
35,2146,hardware
22,844,hardware
94,1535,computers
13,1555,sports
84,1404,clothing
84,1404,games
104,1615,fashion
77,343,electronics
94,239,fashion
9,371,electronics
59,931,fashion
66,1721,clothing
51,2030,computers
53,2139,games
64,708,games
39,210,clothing
104,1615,computers
35,2127,games
27,1935,games
22,844,fashion
51,1318,hardware
27,856,clothing
66,12,sports
97,1756,clothing
94,1966,clothing
99,1,games
78,1769,hardware
61,1471,sports
59,2029,movies
63,212,clothing
59,867,automotive
44,515,computers
64,846,games
51,2030,movies
90,1639,clothing
11,937,sports
53,2139,hardware
111,1016,games
35,2146,sports
82,1214,hardware
13,1072,clothing
51,1485,computers
85,84,clothing
20,355,electronics
53,1059,games
51,1318,clothing
93,2177,clothing
64,2084,fashion
78,1769,clothing
9,1300,games
61,511,movies
22,233,sports
54,243,computers
72,1856,electronics
53,1687,computers
104,754,sports
71,1697,sports
11,1260,fashion
27,1329,movies
72,1307,games
78,1821,electronics
53,670,clothing
20,1801,games
74,1270,fashion
66,1315,automotive
54,2379,computers
64,2084,games
53,769,fashion
18,1874,games
64,504,automotive
64,708,clothing
57,1320,movies
59,2355,computers
61,511,sports
18,970,fashion
66,473,computers
117,1249,clothing
72,1370,movies
97,1522,automotive
97,1609,clothing
9,21,games
72,1307,movies
18,1958,automotive
59,2029,fashion
13,1623,games
18,1064,electronics
75,1525,automotive
77,2248,games
82,1214,sports
72,1307,clothing
63,585,computers
75,1525,computers
86,1732,computers
32,1815,clothing
64,2009,games
35,2229,automotive
99,1744,games
75,253,hardware
35,807,automotive
53,881,movies
35,2199,games
84,244,games
18,970,automotive
61,1085,sports
22,1717,movies
66,473,sports
77,2248,movies
18,128,computers
61,511,automotive
27,1935,sports
27,471,clothing
44,2283,fashion
18,1874,computers
72,1856,electronics
84,1404,clothing
69,1162,clothing
82,1214,fashion
20,355,clothing
72,1264,games
27,1892,computers
59,2133,computers
35,2229,hardware
53,1687,computers
71,1093,sports
54,1234,sports
53,1538,automotive
61,1645,movies
44,2283,games
70,1516,electronics
25,643,clothing
69,1162,sports
44,515,clothing
57,306,games
94,896,clothing
61,1471,sports
94,1535,fashion
9,1652,fashion
93,2177,games
44,935,electronics
71,1697,games
35,400,movies
115,1000,hardware
54,243,games
35,2127,fashion
97,649,sports
94,352,games
22,76,computers
94,741,movies
53,670,hardware
8,2383,sports
13,1555,movies
57,306,electronics
22,76,computers
70,1516,computers
27,471,computers
57,2221,computers
9,1027,hardware
20,1145,fashion
97,1756,sports
18,1874,games
27,2384,electronics
11,1260,sports
36,445,fashion
57,2221,clothing
44,515,automotive
97,412,fashion
72,1370,electronics
44,1926,computers
90,1972,computers
78,1769,computers
35,400,automotive
20,355,clothing
11,222,sports
72,1307,sports
18,970,computers
53,670,computers
13,271,hardware
61,1085,sports
72,455,clothing
32,1815,hardware
104,754,sports
27,471,electronics
75,253,games
63,83,computers
18,970,hardware
115,1000,movies
100,1793,movies
11,222,games
22,1782,hardware
13,1362,sports
64,1997,computers
35,807,fashion
75,253,sports
28,1465,computers
97,412,hardware
27,1329,computers
85,84,computers
75,65,clothing
100,2092,movies
9,1027,movies
97,412,fashion
22,208,movies
27,1065,computers
25,2216,computers
72,1856,electronics
103,1759,movies
35,279,computers
54,1234,games
11,390,computers
59,931,electronics
64,68,games
77,343,electronics
18,970,clothing
18,374,computers
13,2208,hardware
18,1064,fashion
9,1300,automotive
99,1,sports
59,867,electronics
57,1320,sports
64,564,computers
94,352,computers
9,1091,sports
64,504,games
85,864,clothing
64,2084,games
11,937,electronics
85,309,fashion
104,1615,movies
64,1588,hardware
18,1064,hardware
70,1516,fashion
99,2032,games
53,2139,clothing
53,1740,fashion
27,1329,games
11,390,clothing
22,1782,clothing
39,210,computers
57,2221,movies
53,1059,fashion
27,1065,clothing
72,1856,sports
36,1001,hardware
22,208,clothing
53,1687,games
36,2161,games
44,827,sports
93,417,sports
97,412,computers
51,1318,clothing
18,1064,sports
22,233,computers
75,65,movies
25,643,movies
32,1815,computers
61,511,clothing
85,864,computers
22,157,fashion
9,1027,sports
36,127,clothing
35,2199,sports
20,1145,clothing
27,1329,sports
94,1206,sports
97,819,movies
93,417,clothing
78,1821,games
35,740,automotive
27,1065,games
99,1744,electronics
11,2222,sports
53,1863,automotive
32,2336,clothing
99,2212,sports
112,1563,clothing
94,1206,movies
64,1544,fashion
27,221,clothing
27,820,games
100,2306,movies
99,1744,computers
57,2285,sports
97,649,movies
57,1320,electronics
